 0.50000E-02   3.0929      0.41237E-02  0.88830E-01  0.15317E-02  0.66962E-01  0.82227E-03
 0.10000E-01   3.1805      0.39043E-02  0.88513E-01  0.14179E-02  0.67308E-01  0.14715E-02
 0.15000E-01   3.2696      0.72096E-02  0.89200E-01  0.21153E-02  0.67500E-01  0.74421E-03
 0.20000E-01   3.3574      0.57586E-02  0.89479E-01  0.22945E-02  0.65875E-01  0.13292E-02
 0.25000E-01   3.4386      0.84741E-02  0.92324E-01  0.18091E-02  0.65242E-01  0.21676E-02
 0.30000E-01   3.5411      0.10859E-01  0.97557E-01  0.46999E-02  0.64333E-01  0.18780E-02
 0.35000E-01   3.5846      0.48853E-01  0.10128      0.44522E-02  0.57412E-01  0.78116E-02
 0.40000E-01   3.5689      0.16551E-01  0.10804      0.84599E-02  0.43686E-01  0.15201E-02
 0.45000E-01   3.5866      0.16855E-01  0.11971      0.11003E-01  0.37776E-01  0.20394E-02
 0.50000E-01   3.8045      0.68478E-01  0.61689      0.19855      0.24946E-01  0.38350E-02
 0.55000E-01   3.9030      0.10363E-01  0.79095      0.12542E-01  0.18487E-01  0.22948E-02
 0.60000E-01   3.9817      0.12002E-01  0.84150      0.62425E-02  0.13248E-01  0.28886E-02
 0.65000E-01   4.0432      0.10071E-01  0.86309      0.68161E-02  0.12037E-01  0.16853E-02
 0.70000E-01   4.1203      0.16780E-01  0.88549      0.53621E-02  0.71775E-02  0.24023E-02
 0.75000E-01   4.1716      0.15137E-01  0.89507      0.26808E-02  0.60379E-02  0.14001E-02
 0.80000E-01   4.2355      0.14812E-01  0.89941      0.31838E-02  0.58166E-02  0.21869E-02
 0.85000E-01   4.2942      0.15140E-01  0.90514      0.22100E-02  0.64233E-02  0.52006E-02
 0.90000E-01   4.3578      0.26427E-01  0.90925      0.21776E-02  0.31767E-02  0.82594E-03
 0.95000E-01   4.4113      0.20231E-01  0.91037      0.22428E-02  0.33289E-02  0.11476E-02
 0.10000       4.4621      0.17996E-01  0.91016      0.26898E-02  0.71039E-02  0.80017E-02
 0.10500       4.5258      0.20383E-01  0.90824      0.17513E-02  0.26920E-01  0.70348E-02
 0.11000       4.5638      0.19492E-01  0.90969      0.33503E-02  0.29283E-01  0.12299E-01
 0.11500       4.5931      0.17902E-01  0.90623      0.20927E-02  0.40976E-01  0.90241E-02
 0.12000       4.6178      0.84304E-02  0.90202      0.29620E-02  0.54801E-01  0.80980E-02
 0.12500       4.6709      0.17209E-01  0.89747      0.51148E-02  0.68573E-01  0.10723E-01
 0.13000       4.7205      0.28286E-01  0.88850      0.45876E-02  0.85385E-01  0.81614E-02
 0.13500       4.7597      0.27800E-01  0.87944      0.62222E-02  0.10373      0.74306E-02
 0.14000       4.8157      0.36588E-01  0.86828      0.69957E-02  0.12009      0.78803E-02
 0.14500       4.8745      0.53678E-01  0.85405      0.11072E-01  0.13637      0.96575E-02
 0.15000       4.9715      0.38649E-01  0.83218      0.80772E-02  0.15503      0.56558E-02
 0.15500       5.0560      0.33840E-01  0.80941      0.67142E-02  0.17200      0.46618E-02
 0.16000       5.1563      0.40544E-01  0.79027      0.10378E-01  0.18241      0.48930E-02
 0.16500       5.2349      0.43892E-01  0.76632      0.13288E-01  0.19175      0.33664E-02
 0.17000       5.3762      0.48546E-01  0.74192      0.10002E-01  0.19968      0.52258E-02
 0.17500       5.4723      0.30214E-01  0.72269      0.82182E-02  0.20740      0.31620E-02
 0.18000       5.5648      0.63528E-01  0.70499      0.13192E-01  0.21326      0.31110E-02
 0.18500       5.6177      0.49694E-01  0.69010      0.67154E-02  0.21488      0.52597E-02
 0.19000       5.6652      0.40191E-01  0.67684      0.92673E-02  0.22073      0.60406E-02
 0.19500       5.7632      0.47088E-01  0.65899      0.12168E-01  0.22361      0.93194E-02
 0.20000       5.7774      0.49724E-01  0.64623      0.10992E-01  0.22627      0.73269E-02
