0.86110090 0.86205120 0.86054190 0.86122820 0.86092660 0.86142000 0.86244630 0.86229220 0.86128220 0.86221210 0.86186430 0.86193670 0.86111590 0.86299640 0.86279350
0.86217780 0.86269550 0.86155240 0.86145260 0.86246690 0.86326160 0.86056440 0.86195600 0.86038020 0.86164210 0.86279200 0.86080900 0.86232500 0.86416400 0.86044020
0.86039470 0.86188750 0.86301480 0.86181730 0.86101850 0.86236300 0.86390930 0.86019730 0.85985940 0.86172700 0.86333320 0.86218930 0.86124850 0.86337810 0.86355480
0.86182210 0.86316410 0.86130450 0.86079780 0.86282970 0.86172740 0.86009500 0.86059790 0.86160130 0.86332670 0.86267460 0.86179170 0.86106050 0.86352430 0.86072750
0.86189060 0.86155350 0.86245360 0.86203720 0.86313550 0.86122270 0.86042570 0.86346960 0.86059840 0.86158830 0.86156100 0.86019560 0.86176300 0.86393210 0.86238270
0.86282010 0.86248240 0.86255460 0.86236660 0.86293080 0.86239400 0.86214700 0.86122840 0.86143470 0.86083740 0.86281020 0.86325090 0.86276330 0.86213400 0.86328760
0.86241970 0.86183210 0.86097300 0.86221150 0.86222020 0.86150250 0.86090970 0.86170360 0.86067080 0.86250130 0.86277910 0.86114860 0.86177400 0.86342580 0.86151010
0.85954300 0.85941450 0.86107570 0.86180580 0.86047210 0.86180050 0.08265374 0.08257317 0.08441534 0.08399681 0.86145890 0.08397874 0.86193440 0.86270590 0.86244210
0.86186920 0.86259220 0.86122820 0.86262520 0.08302113 0.08266506 0.08261808 0.08338265 0.08119755 0.08417307 0.08319119 0.08374016 0.08348381 0.08224082 0.08351557
0.86119440 0.86151280 0.86474550 0.08217014 0.08216134 0.08185894 0.08183997 0.08330654 0.08188796 0.08277177 0.08182811 0.08342341 0.08367073 0.08280820 0.08286483
0.86099710 0.86269770 0.86284640 0.08327381 0.08289415 0.08129186 0.08197635 0.08314848 0.08222881 0.08362738 0.08329453 0.08382532 0.08311851 0.08305895 0.08384642
0.86023910 0.86244810 0.08286090 0.08216358 0.08144725 0.08271079 0.08290316 0.08350179 0.08206803 0.08330437 0.08194925 0.08319213 0.08228934 0.08273650 0.08182885
0.86019330 0.86141740 0.08293344 0.08312138 0.08175707 0.08195999 0.08354130 0.08278011 0.08258339 0.08278818 0.08124475 0.08339983 0.08194191 0.08330005 0.08208572
0.86101550 0.86275200 0.08195061 0.08175546 0.08276628 0.08182106 0.08281734 0.08345816 0.08129529 0.08353769 0.08287821 0.08306557 0.08260565 0.08259473 0.08302573
0.86195020 0.86197170 0.08213359 0.08225515 0.08135788 0.08162937 0.08202249 0.08301618 0.08310670 0.08158447 0.08292364 0.08358293 0.08349025 0.08269507 0.08159527
